Borough,Block,Lot,BIN, Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*
Brooklyn,2451.0,8.0,3063507.0,Nuestros Ninos Child Development (Leased),ACS,Not Available,149.2,4,Not Available,154,4.1
Brooklyn,3023.0,32.0,3070819.0,Bushwick Improvement Society Inc. (Leased),ACS,Not Available,138.4,3.6,Not Available,122.6,3.2
Brooklyn,3043.0,1.0,3070967.0,Bushwick United Housing Development Fund Corp (Leased),ACS,Not Available,75,2.2,Not Available,94.7,2.9
Brooklyn,3227.0,10.0,3073394.0,Bushwick United Housing Development Fund Corp (Leased),ACS,Not Available,131,3.4,Not Available,118.1,3.1
Brooklyn,3228.0,20.0,3073408.0,Bushwick United Housing Development Fund Corp (Leased),ACS,Not Available,135.1,4.4,Not Available,131.9,4.4
Brooklyn,3259.0,23.0,3074237.0,Grand Street Settlement Inc.(Leased),ACS,Not Available,196.7,5.3,Not Available,159.6,4.3
Brooklyn,3331.0,25.0,3076253.0,Lutheran Social Services of NY (Leased),ACS,Not Available,217,5.7,Not Available,195.6,5.3
Brooklyn,3362.0,55.0,3076869.0,New Life Child Care Center (Leased),ACS,Not Available,307.5,9.6,Not Available,364.9,13
Brooklyn,3433.0,5.0,3079655.0,Labor and Industry for Education Inc.,ACS,Not Available,122.3,3.3,Not Available,122.7,3.5
Brooklyn,3448.0,15.0,3080179.0,Labor and Industry for Education Inc. (Leased),ACS,Not Available,82,2.7,Not Available,83.2,2.8
Brooklyn,3498.0,8.0,3378202.0,Crossroads Juvenile Center,ACS,Not Available,152.8,4.6,Not Available,182.9,6
Brooklyn,3531.0,23.0,3081165.0,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,124.1,3.6,Not Available,165.6,5
Brooklyn,3568.0,1.0,3326658.0,SCO Family of Services (Leased),ACS,Not Available,233.5,6.1,Not Available,170.4,4.5
Brooklyn,3803.0,46.0,3342526.0,University Settlement Society of New York Inc. (Leased),ACS,Not Available,173.2,4.5,Not Available,170,4.5
Brooklyn,3805.0,26.0,3084628.0,Police Athletic League Inc. (Leased),ACS,Not Available,162.3,4.3,Not Available,171.8,4.6
Brooklyn,3976.0,70.0,3088473.0,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,149.1,3.9,Not Available,113.7,3
Brooklyn,4006.0,37.0,3089020.0,Friends of Crown Heights Educational Center Inc.(Leased),ACS,Not Available,158.2,4.1,Not Available,157.7,4.2
Brooklyn,4039.0,1.0,3089620.0,Urban Strategies Day Care Center (Leased),ACS,Not Available,179.4,4.6,Not Available,157.6,4.2
Brooklyn,4089.0,25.0,3090717.0,United Community Day Care Center Inc. (Leased),ACS,Not Available,294.6,9.9,Not Available,303.3,10.1
Brooklyn,4298.0,7.0,3096389.0,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,128.3,4.3,Not Available,105.9,3.8
Brooklyn,4315.0,40.0,3097095.0,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,210.1,5.5,Not Available,212.5,5.7
Brooklyn,4457.0,1.0,3098472.0,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,184.3,6.3,Not Available,191.6,7.1
Brooklyn,5049.0,1.0,3115846.0,Episcopal Social Services of NY (Leased),ACS,Not Available,212.2,5.5,Not Available,109.5,2.9
Brooklyn,7065.0,1.0,3189617.0,YWCA of the City of New York (Leased),ACS,Not Available,161.2,4.8,Not Available,154.4,4.9
Queens,386.0,7.0,4004679.0,Catholic Charities Neighborhood Services Inc. (Leased),ACS,Not Available,119.8,4,Not Available,115.6,3.8
Queens,1669.0,38.0,4041534.0,SCO Family of Services (Leased),ACS,Not Available,218.1,5.8,Not Available,239.7,6.5
Queens,1726.0,5.0,4042862.0,Episcopal Social Services of NY (Leased),ACS,Not Available,184.1,4.8,Not Available,171.5,4.5
Queens,1749.0,7.0,4043525.0,The Child Center of NY Inc.(Leased),ACS,Not Available,158.9,4.2,Not Available,150.6,4
Queens,10021.0,1.0,4214446.0,Clifford Glover Day Care Center Inc. (Leased),ACS,Not Available,146.3,3.8,Not Available,149.7,4
Queens,10155.0,29.0,4216225.0,Dual Center ACS Administrative Site (Leased),ACS,74,179.4,5.1,28,214.4,6.3
Queens,10193.0,1.0,4216947.0,All My Children Daycare and Nursery School (Leased),ACS,Not Available,136,3.7,Not Available,104.5,3.1
Queens,10917.0,29.0,4233644.0,Charles R Drew Early Learning Center (Leased),ACS,Not Available,182.7,5,Not Available,179.6,4.9
Queens,10941.0,206.0,4234212.0,Blanche Day Care Center,ACS,Not Available,162.8,5.6,Not Available,215,7.8
Queens,12022.0,20.0,4260903.0,All My Children Daycare and Nursery School (Leased),ACS,Not Available,192.1,5.2,Not Available,167.1,4.5
Queens,12039.0,44.0,4261337.0,Omega PSI PHI Fraternity NU-Omicron Chapter ECEC (Leased),ACS,Not Available,214.3,5.7,Not Available,214.8,5.8
Queens,12062.0,51.0,4261925.0,Alpha Kappa Alpha Sorority Child Care Center (Leased),ACS,Not Available,144.5,3.7,Not Available,151.9,4
Queens,12599.0,8.0,4271346.0,Babove Worldwide Institute Inc. (Leased),ACS,Not Available,137.5,5.4,Not Available,123.7,4.2
Staten Island,174.0,6.0,5004830.0,Childrens Aide Society Inc.,ACS,Not Available,198.8,6.2,Not Available,158.6,4.8
Brooklyn,583.0,1.0,3008671.0,Board of Elections (Leased),BOENY,96,25.8,0.7,100,6,0.2
Brooklyn,239.0,16.0,3001939.0,Brooklyn Heights Branch and Business Library,BPL,Not Available,177.3,5.2,Not Available,137.9,4.6
Brooklyn,338.0,33.0,3004336.0,Carroll Gardens Branch Library,BPL,Not Available,129.2,4.2,Not Available,147.9,5.5
Brooklyn,798.0,34.0,3013507.0,Sunset Park Branch Library,BPL,Not Available,241.1,7.4,Not Available,240.6,7.7
Brooklyn,928.0,6.0,3018376.0,Pacific Branch Library,BPL,Not Available,185.8,5.7,Not Available,165.1,6.1
