Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²) †,2011 Rating * ,2011 Source EUI (kBtu/sq.ft.),2011 GHG Emissions Intensity (kgCO2e/ft²) †,2012 Rating *,2012 Source EUI (kBtu/sq.ft.),2012 GHG Emissions Intensity (kgCO2e/ft²) †,2013 Rating *,2013 Source EUI (kBtu/sq.ft.),2013 GHG Emissions Intensity (kgCO2e/ft²) †
Queens,11900.0,2.0,4459553.0,Jamaica WPCP: 130th Pl,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17.0,614.8,17.7
Queens,11900.0,2.0,4459551.0,Jamaica WPCP: 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17.0,614.8,17.7
Queens,11900.0,2.0,4459552.0,Jamaica WPCP: 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17.0,614.8,17.7
Queens,11900.0,2.0,4459546.0,Jamaica WPCP: 150-00 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17.0,614.8,17.7
Queens,11900.0,2.0,4459547.0,Jamaica WPCP: 150-20 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17.0,614.8,17.7
Queens,11900.0,2.0,4459548.0,Jamaica WPCP: 150-20 REAR 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17.0,614.8,17.7
Queens,11900.0,2.0,4459549.0,Jamaica WPCP: 150-80 134 St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17.0,614.8,17.7
Queens,11900.0,2.0,4459550.0,Jamaica WPCP: 150-80 REAR 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17.0,614.8,17.7
Brooklyn,7.0,1.0,3331723.0,Manhattan Bridge Storage,DEP, 64 , 47.2 ,2.0,73,39.2,1.6,78, 33.9 , 1.3 ,96.0,18.2,0.7
Brooklyn,2525.0,1.0,3064103.0,Newtown Creek WPCP: 100 - 116 Provost St,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3336836.0,Newtown Creek WPCP: 294 Freeman St,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3330051.0,Newtown Creek WPCP: 315 - 343 Green St,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3336837.0,Newtown Creek WPCP: 320 - 322 Freeman St,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3330052.0,Newtown Creek WPCP: 324 - 328 Freeman St,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3397230.0,Newtown Creek WPCP: Aeration Tank,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3398211.0,Newtown Creek WPCP: Center Residuals Bldg,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3398219.0,Newtown Creek WPCP: Cm Office,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3398209.0,Newtown Creek WPCP: Disinfection Bldg,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3397231.0,Newtown Creek WPCP: Elect Rm 6,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3398216.0,Newtown Creek WPCP: Electric Room 5,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3398217.0,Newtown Creek WPCP: Electric Room 7,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3398218.0,Newtown Creek WPCP: Electric Room 8,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
Brooklyn,2525.0,1.0,3330053.0,Newtown Creek WPCP: Freeman St,DEP, 12 ," 1,101.8 ",31.0,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34.0,810.7,21.7
