,year,mmbtu_metric_ton_of_steam,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_ch4,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_co2,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_co2e,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_n2o,kgch4_mw,kgco2_mwh,kgco2e_mwh,kgn20_mwh,new_york_city_population,nyc_consumption_million_gallons_per_day,per_capita_gallons_per_person_per_day,calendar_year_heat,calendar_year_annual_total_heat,calendar_year_change_from_base_year_%_heat,calendar_year_change_from_previous_year_%_heat,fiscal_year_heat,fiscal_year_annual_total_heat,fiscal_year_change_from_base_year_%_heat,fiscal_year_change_from_previous_year_%_heat,calendar_year_cool,calendar_year_annual_total_cool,fiscal_year_cool,fiscal_year_annual_total_cool,number_of_indoor_complaints,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
25,2004,,,,,,,,,,0.7144873345927651,0.20946722882330415,0.19791666666666652,0.0,0.9018952062430321,,,0.0,0.7926926131850673,,,0.0,0.25106382978723407,0.0,0.030364372469635637,,0.9391150929953103,0.8855045889308916,0.5982120104238018,0.0,0.0,0.9127337775016605,0.3940480160053353
26,2005,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.726368741975751,0.2832502874664622,0.25,0.08333333333331439,0.8416945373467106,,0.43491124260355035,0.09090909090909349,0.43367752184273245,,0.2979591836734693,0.08333333333331439,0.8453900709219861,0.09090909090909349,0.7773279352226719,,0.903014043314893,1.0,0.7803308340963361,0.0,0.0,0.7058098930996812,0.5736078692897635
27,2006,0.4296691846835117,0.6000000000000001,0.4782357063802394,0.4787182455879868,0.6666666666666666,0.44736842105263164,0.7021616836241356,0.7027279770356378,1.0,0.7382501493587368,0.15101571483326937,0.15625,0.1666666666666572,0.010033444816053283,0.010526315789473606,0.0,0.18181818181818699,0.5917394757744239,0.5932203389830509,0.5897959183673469,0.1666666666666572,0.3602836879432625,0.18181818181818699,0.25506072874493935,,0.8862327690242957,0.9499742581344834,0.751747011480269,0.0,0.0,0.9541817519655521,0.5421807269089696
28,2007,0.5395936441781717,0.6666666666666667,0.5571665509160155,0.557557167023903,0.8333333333333334,0.5263157894736843,0.7126155170463095,0.7131866656515047,1.0,0.7501315567417217,0.23725565350709066,0.20833333333333326,0.25,0.810479375696767,0.8105263157894737,1.0,0.2727272727272805,0.5996822875297854,0.6000000000000001,0.4979591836734693,0.25,0.4765957446808511,0.2727272727272805,0.3056680161943319,,0.8621001194043189,0.9316287453339528,0.7297785902254432,0.0,0.0,0.26062040746374177,0.5729409803267757
29,2008,0.4592341755665541,0.5333333333333332,0.46608981616259637,0.466276312942169,0.6666666666666666,0.26315789473684226,0.44994757045329714,0.4507273423655642,0.7647058823529412,0.7620129641247075,0.20659256420084326,0.1875,0.3333333333333144,0.6911928651059087,0.6894736842105262,0.3994082840236687,0.36363636363637397,0.8895949166004766,0.8915254237288136,0.6612244897959183,0.3333333333333144,0.4070921985815603,0.36363636363637397,0.0,,0.8395335440173992,0.9163228148165679,0.732004533201862,0.0,0.0,0.000803359112234624,0.6111203734578194
30,2009,0.6730919510289142,0.6666666666666667,0.6313373481367317,0.6313874089600235,0.6666666666666666,0.15789473684210553,0.25913026438721576,0.2597172230975737,0.5294117647058825,0.7738943715076934,0.03315446531238031,0.0625,0.4166666666666572,0.8717948717948714,0.8736842105263157,0.5710059171597633,0.45454545454543904,0.5258141382049244,0.5254237288135594,0.29999999999999993,0.4166666666666572,0.0,0.45454545454543904,0.12348178137651811,,0.825702787360239,0.8363172042721844,0.739823025848214,0.0,0.0,0.0,0.5067105701900635
31,2010,0.29278457931753055,0.3999999999999999,0.3134432488829271,0.31358819524846737,0.4999999999999999,0.0,0.04020045699435815,0.041075126454524824,0.4117647058823529,0.7857757788906792,0.09352242238405517,0.10416666666666652,0.5,0.5228539576365661,0.5263157894736842,0.2721893491124261,0.5454545454545325,0.8030182684670373,0.8033898305084746,0.657142857142857,0.5,0.9546099290780141,0.5454545454545325,0.7914979757085021,0.0,0.8050830505448686,0.8043911108340489,0.70712250529834,0.0,0.0,0.0,0.4989996665555185
32,2011,0.40922115134149495,0.30000000000000004,0.31559811374007807,0.3152372212332628,0.33333333333333337,0.10526315789473695,0.13156083751972658,0.1317143821934359,0.23529411764705888,0.8554385450216007,0.05902644691452674,0.0625,0.5833333333333144,0.3979933110367888,0.39999999999999997,0.3934911242603551,0.636363636363626,0.0,0.0,0.057142857142857106,0.5833333333333144,0.645390070921986,0.636363636363626,0.5384615384615383,0.5501738122827348,0.8517935710913295,0.8113717781018959,0.7025124695065343,0.0,0.0,0.0,0.13325275091697233
33,2012,0.0,0.06666666666666665,0.0,0.0,0.16666666666666674,0.10526315789473695,0.06615395741017882,0.06610042317150211,0.1176470588235295,0.9088936629882998,0.03622077424300496,0.04166666666666652,0.6666666666666572,0.0,0.0,0.22485207100591723,0.7272727272727195,0.7323272438443209,0.7322033898305085,0.9999999999999999,0.6666666666666572,0.5687943262411348,0.7272727272727195,0.47368421052631593,0.5661645422943221,0.8240599539813207,0.7608747290117815,0.6775183921219609,0.0,0.021830807516354484,0.0,0.4949149716572191
34,2013,0.07228444907528031,0.06666666666666665,0.0340766744996559,0.03382240748316612,0.0,0.07894736842105288,0.07294005535720327,0.07273133055791114,0.05882352941176472,0.9450010930424817,0.03047144499808363,0.03125,0.75,0.7714604236343368,0.7736842105263158,0.9822485207100592,0.818181818181813,0.9904686258935662,0.9932203389830508,0.6367346938775509,0.75,0.5617021276595746,0.818181818181813,0.37044534412955477,0.6458864426419467,0.8119264152977261,0.7632968289676064,0.703688348774819,0.016932460856670387,0.1573457314438136,0.0,0.7209069689896633
35,2014,0.2525397238864291,0.033333333333333326,0.12538491055487366,0.1245125185396958,0.0,0.052631578947368585,0.04531219199828285,0.045037746014568336,0.0,0.9725215528751292,0.011115369873514691,0.010416666666666519,0.8333333333333144,1.0,1.0,0.5976331360946746,0.9090909090909065,1.0,1.0,0.4979591836734693,0.8333333333333144,0.35744680851063837,0.9090909090909065,0.36032388663967607,0.8106604866743917,0.8029360680039113,0.7758453166464438,0.7522233818454227,0.1315859132399947,0.533297569553102,0.0,0.7258669556518839
36,2015,0.12086480854389148,0.0,0.06818981838247185,0.06751371424148744,0.0,0.07894736842105288,0.0,0.0,0.05882352941176472,0.9944493380150208,0.036029129934840975,0.02083333333333326,0.9166666666666572,0.5373467112597545,0.5368421052631579,0.2159763313609468,1.0,0.04209690230341545,0.040677966101694996,0.0,0.9166666666666572,1.0,1.0,1.0,0.7506373117033603,0.7923068209216341,0.7865598979353864,0.8047681856307735,0.236490890512528,0.7981879684682666,0.0,0.7375375125041681
37,2016,0.07059129981766121,0.0,0.21617940399514168,0.2147540439835034,0.0,0.10526315789473695,0.019664287605515307,0.019599797510024386,0.0,1.0,0.022614028363357574,0.010416666666666519,1.0,0.3054626532887399,0.3052631578947369,0.32840236686390534,,,,,1.0,0.869503546099291,,,0.6203939745075319,0.7937616358943821,0.8043521487202703,0.881233632772232,0.31938850733056884,0.9278614749579032,0.1663917393260353,0.8118122707569189
38,2017,,,,,,,,,,0.9731510314119758,0.0,0.0,,,,,,,,,,,,,0.8797219003476245,0.7943372753563477,0.7901419940648614,0.9073395611502035,0.6616638725781798,0.9682894481946749,0.1270432100087834,0.8656218739579862
39,2018,,,,,,,,,,0.9450075017606174,0.03315446531238031,0.03125,,,,,,,,,,,,,1.0,0.8028125027404309,0.8145844059110644,0.9293089428291539,1.0,1.0,0.19280083120889482,1.0
